start_offset(uint64),start_time(double),start_time_offset(double),center_frequency(double),dewhitened(bool)
46309376,5.79127016604802,0.002582195680588484,918328312.5048828,True,2,0,0,14,40,139
124308480,15.539848216049924,0.0012803024146705866,914706943.5588379,True,62,4,254,1,80,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,240,240,255,0,188,88,96
124621056,15.578900256366088,0.0012603059876710176,914706343.2668457,True,62,4,254,1,81,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,246,240,255,0,196,77,0
124933376,15.617967899417676,0.0012803372228518128,914709454.7888184,True,62,4,254,1,81,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,252,240,255,0,76,77,136
125245952,15.657039882609793,0.0012802836718037724,914707285.144043,True,62,4,254,1,81,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,2,241,255,0,84,113,48
125558528,15.696084000924222,0.0012603652430698276,914449789.7871094,True,62,4,254,1,81,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,8,241,255,0,220,113,208
125871104,15.735155926607169,0.0012602541828528047,914449227.1887207,True,62,4,254,1,82,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,14,241,255,0,164,78,128
126496000,15.813268635011829,0.0012603603536263108,914449919.4248047,True,62,4,254,1,82,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,26,241,255,0,52,75,160
126808576,15.852340585258409,0.0012602738570421934,914706732.7175293,True,62,4,254,1,82,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,32,241,255,0,124,65,16
127121152,15.891412623165726,0.0012602750211954117,914708982.2353516,True,62,5,254,1,96,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,38,241,255,0,249,152,224
127433472,15.930452338475353,0.0012603785144165158,914709797.859375,True,62,5,254,1,96,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,44,241,255,0,113,152,96
